Date,Close/Last,Volume,Open,High,Low,Assets,"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Other Short Term Assets,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Liabilities,Payables & Accruals,Short Term Debt,Other Short Term Liabilities,Total Current Liabilities,Long Term Debt,Other Long Term Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity,Share Capital & Additional Paid-In Capital,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority Interest,Total Equity,Total Liabilities & Equity
2021-04-30,138.8,11374600,141.07,142.09,138.26,,12051.978021978022,3892.4175824175823,2588.967032967033,782.8461538461538,19316.20879120879,4081.7582417582416,35.0,13981.923076923076,18063.68131868132,37379.89010989011,,3566.5274725274726,500.0,5107.714285714285,9174.241758241758,15232.274725274725,5579.351648351649,20811.626373626375,29985.86813186813,0.0,113.0,7027.857142857143,289.1758241758242,7394.021978021978,-11.0,7394.021978021978,37379.89010989011
2021-05-03,137.43,7920307,139.7,139.76,136.87,,12026.527472527472,3865.978021978022,2592.7912087912086,781.6923076923077,19266.98901098901,4086.802197802198,35.0,14015.846153846154,18102.648351648353,37369.63736263736,,3565.3406593406594,500.0,5103.857142857143,9169.197802197803,15232.406593406593,5572.56043956044,20804.967032967033,29974.164835164836,0.0,113.0,7033.428571428572,288.7802197802198,7395.472527472528,-11.0,7395.472527472528,37369.63736263736
2021-05-04,134.12,11996280,136.0,136.0,132.42,,12018.043956043955,3857.164835164835,2594.065934065934,781.3076923076923,19250.582417582416,4088.4835164835163,35.0,14027.153846153846,18115.637362637364,37366.21978021978,,3564.945054945055,500.0,5102.571428571428,9167.516483516483,15232.45054945055,5570.2967032967035,20802.747252747253,29970.263736263736,0.0,113.0,7035.285714285715,288.64835164835165,7395.956043956044,-11.0,7395.956043956044,37366.21978021978
2021-05-05,134.65,6285459,136.08,136.45,134.11,,12009.560439560439,3848.3516483516482,2595.3406593406594,780.9230769230769,19234.175824175825,4090.164835164835,35.0,14038.461538461539,18128.62637362637,37362.8021978022,,3564.5494505494507,500.0,5101.285714285715,9165.835164835165,15232.494505494506,5568.0329670329675,20800.527472527472,29966.362637362636,0.0,113.0,7037.142857142857,288.5164835164835,7396.43956043956,-11.0,7396.43956043956,37362.8021978022
2021-05-06,136.0,8352536,134.49,136.54,133.095,,12001.076923076924,3839.5384615384614,2596.6153846153848,780.5384615384615,19217.76923076923,4091.846153846154,35.0,14049.76923076923,18141.615384615383,37359.38461538462,,3564.153846153846,500.0,5100.0,9164.153846153846,15232.538461538461,5565.7692307692305,20798.30769230769,29962.46153846154,0.0,113.0,7039.0,288.38461538461536,7396.923076923077,-11.0,7396.923076923077,37359.38461538462
2021-05-07,137.85,6893704,136.937,138.69,136.29,,11992.593406593407,3830.7252747252746,2597.8901098901097,780.1538461538462,19201.362637362636,4093.5274725274726,35.0,14061.076923076924,18154.604395604394,37355.96703296703,,3563.7582417582416,500.0,5098.714285714285,9162.472527472528,15232.582417582418,5563.505494505494,20796.08791208791,29958.56043956044,0.0,113.0,7040.857142857143,288.25274725274727,7397.406593406594,-11.0,7397.406593406594,37355.96703296703
2021-05-10,128.94,19537230,136.02,136.68,128.82,,11967.142857142857,3804.285714285714,2601.714285714286,779.0,19152.14285714286,4098.571428571428,35.0,14095.0,18193.571428571428,37345.71428571428,,3562.5714285714284,500.0,5094.857142857143,9157.42857142857,15232.714285714286,5556.714285714285,20789.428571428572,29946.85714285714,0.0,113.0,7046.428571428572,287.85714285714283,7398.857142857143,-11.0,7398.857142857143,37345.71428571428
2021-05-11,128.37,11947960,125.25,128.56,124.77,,11958.65934065934,3795.4725274725274,2602.989010989011,778.6153846153846,19135.736263736264,4100.252747252747,35.0,14106.307692307691,18206.56043956044,37342.296703296706,,3562.1758241758243,500.0,5093.571428571428,9155.747252747253,15232.758241758242,5554.450549450549,20787.20879120879,29942.956043956045,0.0,113.0,7048.285714285715,287.72527472527474,7399.340659340659,-11.0,7399.340659340659,37342.296703296706
2021-05-12,124.62,13529630,126.029,127.13,123.68,,11950.175824175823,3786.6593406593406,2604.263736263736,778.2307692307693,19119.32967032967,4101.934065934066,35.0,14117.615384615385,18219.54945054945,37338.87912087912,,3561.78021978022,500.0,5092.285714285715,9154.065934065935,15232.802197802197,5552.186813186813,20784.98901098901,29939.054945054944,0.0,113.0,7050.142857142857,287.5934065934066,7399.824175824176,-11.0,7399.824175824176,37338.87912087912
2021-05-13,127.11,10635090,127.12,128.48,125.87,,11941.692307692309,3777.846153846154,2605.5384615384614,777.8461538461538,19102.923076923078,4103.615384615385,35.0,14128.923076923076,18232.53846153846,37335.46153846154,,3561.3846153846152,500.0,5091.0,9152.384615384615,15232.846153846154,5549.923076923077,20782.76923076923,29935.153846153848,0.0,113.0,7052.0,287.46153846153845,7400.307692307692,-11.0,7400.307692307692,37335.46153846154
2021-05-14,130.15,9391122,128.63,131.42,127.81,,11933.208791208792,3769.032967032967,2606.813186813187,777.4615384615385,19086.516483516483,4105.2967032967035,35.0,14140.23076923077,18245.527472527472,37332.043956043955,,3560.989010989011,500.0,5089.714285714285,9150.703296703297,15232.89010989011,5547.659340659341,20780.54945054945,29931.252747252747,0.0,113.0,7053.857142857143,287.3296703296703,7400.791208791209,-11.0,7400.791208791209,37332.043956043955
2021-05-17,129.8,5913245,129.29,129.83,127.71,,11907.758241758242,3742.5934065934066,2610.6373626373625,776.3076923076923,19037.296703296703,4110.340659340659,35.0,14174.153846153846,18284.494505494506,37321.79120879121,,3559.802197802198,500.0,5085.857142857143,9145.65934065934,15233.021978021978,5540.868131868132,20773.89010989011,29919.54945054945,0.0,113.0,7059.428571428572,286.9340659340659,7402.241758241758,-11.0,7402.241758241758,37321.79120879121
2021-05-18,128.91,8651133,130.64,131.24,128.79,,11899.274725274725,3733.78021978022,2611.912087912088,775.9230769230769,19020.89010989011,4112.021978021978,35.0,14185.461538461539,18297.483516483517,37318.37362637363,,3559.4065934065934,500.0,5084.571428571428,9143.978021978022,15233.065934065935,5538.604395604396,20771.67032967033,29915.648351648353,0.0,113.0,7061.285714285715,286.8021978021978,7402.725274725275,-11.0,7402.725274725275,37318.37362637363
2021-05-19,130.66,8112930,127.185,130.83,126.45,,11890.791208791208,3724.967032967033,2613.186813186813,775.5384615384615,19004.483516483517,4113.7032967032965,35.0,14196.76923076923,18310.472527472528,37314.956043956045,,3559.010989010989,500.0,5083.285714285715,9142.296703296703,15233.10989010989,5536.340659340659,20769.45054945055,29911.747252747253,0.0,113.0,7063.142857142857,286.6703296703297,7403.208791208791,-11.0,7403.208791208791,37314.956043956045
