Date,Close/Last,Volume,Open,High,Low
12/22/2020,$132.25,3061482,$131.93,$132.42,$130.26
12/21/2020,$130.22,3259744,$130,$131.23,$127.63
12/18/2020,$131.92,8782907,$130.3,$132.14,$129.51
12/17/2020,$130.01,4132224,$130.32,$130.7597,$129.65
12/16/2020,$129.81,3262167,$130.65,$130.65,$129.11
12/15/2020,$130,2906341,$129.7,$130.71,$128.78
12/14/2020,$129.36,5296987,$131.02,$132.97,$129.23
12/11/2020,$131.23,2405262,$130.57,$131.63,$129.69
12/10/2020,$130.56,4164484,$130.73,$131.875,$130.035
12/09/2020,$131.12,3660502,$133.88,$133.88,$130.57
12/08/2020,$133.15,2442876,$132.83,$133.43,$131.825
12/07/2020,$132.96,2637360,$132.08,$133.08,$131.92
12/04/2020,$131.8,2029174,$131.63,$131.98,$130.68
12/03/2020,$131.19,3587959,$131.65,$132.97,$131.09
12/02/2020,$133.14,2926991,$133.64,$134.24,$132.41
12/01/2020,$133.73,3968513,$132.92,$133.94,$132.24
11/30/2020,$132.94,5746041,$131.9,$133.05,$130.13
11/27/2020,$131.9,2278372,$129.12,$132.47,$128.87
11/25/2020,$128.74,3562674,$128.79,$129.63,$127.755
11/24/2020,$128.06,4694679,$127.471,$129.02,$125.76
11/23/2020,$127.88,4177210,$129.87,$130.15,$126.91
11/20/2020,$129.68,4388200,$129.66,$130.34,$128.36
11/19/2020,$129.19,2427023,$127.3,$130.23,$127.1105
11/18/2020,$127.85,3222918,$129.631,$130.51,$127.84
11/17/2020,$129,3648464,$130.604,$132.33,$128.72
11/16/2020,$128.65,3444455,$129.816,$130.1075,$127.56
11/13/2020,$128.23,3399950,$127.33,$128.5249,$126.31
11/12/2020,$126.81,3558580,$125.41,$127.8,$124.73
11/11/2020,$125.15,3931577,$122.63,$126.03,$122.04
11/10/2020,$121.72,4454849,$119.03,$123.24,$118.6
11/09/2020,$122.78,6190557,$125.48,$126.96,$122.57
11/06/2020,$123.56,8931300,$127,$127.03,$122.705
11/05/2020,$117.26,7669706,$117.574,$119.31,$116.28
11/04/2020,$116.02,5025909,$113.91,$116.88,$112.81
11/03/2020,$111.12,3341389,$111.25,$112.39,$110.71
11/02/2020,$110.39,3145029,$111.1442,$111.1442,$108.75
10/30/2020,$109.57,4041188,$108.86,$109.76,$107.5641
10/29/2020,$109.51,2895872,$109.28,$111.04,$108.9
10/28/2020,$109.8,3661845,$111.3,$111.93,$109.66
10/27/2020,$112.82,2628909,$111.78,$113.56,$111.13
10/26/2020,$111.78,2764670,$111.18,$112.04,$110.0185
10/23/2020,$112.38,2269311,$112.499,$112.62,$110.9
10/22/2020,$111.64,3604483,$112.77,$113.76,$110.88
10/21/2020,$112.42,3029688,$112.67,$113.792,$112.21
10/20/2020,$113.07,2744994,$113.9,$114.21,$112.7
10/19/2020,$112.75,3037461,$115.47,$115.55,$112.01
10/16/2020,$114.96,3762899,$115.811,$116.78,$114.85
10/15/2020,$115.3,3287558,$115.81,$116.95,$114.07
10/14/2020,$116.67,6639798,$122.05,$122.24,$116.45
10/13/2020,$121.57,5326459,$120.8,$123.42,$120.07
10/12/2020,$120.07,6498662,$118.06,$121.36,$117.4
10/09/2020,$117.23,3340123,$115.583,$117.52,$115.52
10/08/2020,$115.49,2254766,$114.89,$115.6,$114.2801
10/07/2020,$114.22,3367494,$113.02,$114.52,$112.62
10/06/2020,$112.45,3335475,$113.61,$114.47,$111.8
10/05/2020,$114.8,2657343,$113.46,$114.99,$113.42
10/02/2020,$113.41,4014904,$114.41,$115.7,$113
10/01/2020,$115.73,4306879,$115,$116.43,$113.89
09/30/2020,$114.36,5174394,$113.36,$115.09,$112.01
09/29/2020,$113.52,3221574,$114.35,$114.84,$113.29
