Date,Close/Last,Volume,Open,High,Low,CrudeOilUSDM
2019-01-04,56.6,14175400,56.5,56.83,55.2101,59.7430659186536
2019-01-07,56.44,12316290,56.39,57.16,55.945,60.213523141655
2019-01-08,55.95,12108720,56.71,56.88,55.61,60.3703422159888
2019-01-09,56.61,10970950,56.26,57.11,56.14,60.5271612903226
2019-01-10,56.8,10954470,56.19,56.99,56.1,60.6839803646564
2019-01-11,57.5,12022060,56.47,58.17,56.33,60.8407994389902
2019-01-14,57.3,9448101,57.02,57.65,56.37,61.3112566619916
2019-01-15,55.73,17278180,57.32,57.4,55.56,61.4680757363254
2019-01-16,55.27,13838750,55.75,56.08,55.16,61.6248948106592
2019-01-17,54.77,18163610,54.97,55.2,54.37,61.781713884993
2019-01-18,55.27,26141600,55.39,55.9,54.99,61.9385329593268
2019-01-22,54.29,17819940,54.97,54.99,53.94,62.565809256662
2019-01-23,51.77,33779310,52.92,53.57,51.22,62.7226283309958
2019-01-24,50.81,30259740,51.95,51.98,50.41,62.8794474053296
2019-01-25,51.3,19513010,50.93,52.03,50.28,63.036266479663404
2019-01-28,50.64,24454460,50.32,51.29,50.24,63.5067237026648
2019-01-29,49.4,26249850,50.49,50.8381,49.34,63.6635427769986
2019-01-30,50.17,17578800,49.68,50.42,49.21,63.8203618513324
2019-01-31,49.52,24558700,51.2,51.28,49.1,63.977180925666204
2019-02-01,49.61,15433480,49.58,50.28,49.4,64.134
2019-02-04,49.69,10860220,49.71,49.8,49.465,64.37795918367347
2019-02-05,50.73,15450460,49.73,51.08,49.72,64.45927891156462
2019-02-06,51.1,10879420,50.94,51.635,50.9274,64.54059863945578
2019-02-07,50.55,10590350,50.83,51.12,50.27,64.62191836734694
2019-02-08,50.29,12461180,50.24,50.68,49.91,64.7032380952381
2019-02-11,50.83,9969719,50.55,51.3,50.38,64.94719727891157
2019-02-12,51.66,16633260,51.3,52.18,51.015,65.02851700680273
2019-02-13,51.59,10994080,52.0,52.49,51.56,65.10983673469389
2019-02-14,51.57,17893140,51.5,51.765,51.0925,65.19115646258504
2019-02-15,51.98,12078990,52.08,52.36,51.6,65.2724761904762
2019-02-19,52.01,8196656,52.0,52.48,51.75,65.59775510204082
2019-02-20,52.45,12860600,52.25,52.915,52.135,65.67907482993198
