Date,Close/Last,Volume,Open,High,Low,Gross Profit,Net Income Available to Common Shareholders,InflationRate,Total Assets,Total Liabilities,Net Income/Starting Line,Dividends Paid,Net Changes in Cash,BrentCrudeOil
2021-09-14,141.14,6442067,144.47,144.81,140.62,4627.728260869565,1978.0326086956522,4.26,38473.163043478264,30435.304347826088,1978.8478260869565,-760.9021739130435,941.6630434782608,78.52063636363636
2021-09-15,138.24,11289100,140.805,141.0,137.52,4629.391304347826,1980.913043478261,4.279999999999999,38490.565217391304,30444.521739130436,1981.7391304347825,-761.2608695652174,968.5652173913043,78.82236363636363
2021-09-16,138.4,6719871,137.32,138.96,137.32,4631.054347826087,1983.7934782608695,4.3,38507.967391304344,30453.739130434784,1984.6304347826087,-761.6195652173913,995.4673913043475,79.12409090909091
2021-09-17,133.6,14550480,137.81,138.0,133.14,4632.717391304348,1986.6739130434783,4.319999999999999,38525.36956521739,30462.956521739132,1987.5217391304348,-761.9782608695652,1022.369565217391,79.42581818181817
2021-09-20,132.76,9647058,131.47,133.12,130.61,4637.70652173913,1995.3152173913045,4.38,38577.57608695652,30490.608695652172,1996.195652173913,-763.054347826087,1103.0760869565215,80.331
2021-09-21,131.75,6175312,133.587,133.91,131.28,4639.369565217391,1998.195652173913,4.3999999999999995,38594.97826086957,30499.82608695652,1999.086956521739,-763.4130434782609,1129.978260869565,80.63272727272727
2021-09-22,133.01,5163043,132.59,133.49,131.98,4641.032608695652,2001.0760869565217,4.42,38612.38043478261,30509.043478260868,2001.9782608695652,-763.7717391304348,1156.8804347826085,80.93445454545454
2021-09-23,133.91,5918870,133.75,135.16,133.22,4642.695652173913,2003.9565217391305,4.4399999999999995,38629.78260869565,30518.260869565216,2004.8695652173913,-764.1304347826087,1183.782608695652,81.23618181818182
2021-09-24,133.88,4554621,133.11,134.55,132.8001,4644.358695652174,2006.8369565217392,4.46,38647.184782608696,30527.478260869564,2007.7608695652175,-764.4891304347826,1210.6847826086955,81.5379090909091
2021-09-27,133.48,4319466,132.43,134.04,132.02,4649.347826086957,2015.4782608695652,4.52,38699.391304347824,30555.130434782608,2016.4347826086957,-765.5652173913044,1291.391304347826,82.44309090909091
2021-09-28,129.9,8851657,131.75,132.7399,129.7,4651.010869565217,2018.358695652174,4.539999999999999,38716.79347826087,30564.347826086956,2019.3260869565217,-765.9239130434783,1318.2934782608695,82.74481818181819
2021-09-29,129.28,7037221,130.59,131.45,128.89,4652.673913043478,2021.2391304347825,4.56,38734.19565217391,30573.565217391304,2022.2173913043478,-766.2826086956521,1345.195652173913,83.04654545454545
2021-09-30,128.98,6982505,130.35,131.08,128.695,4654.336956521739,2024.1195652173913,4.58,38751.59782608696,30582.782608695652,2025.108695652174,-766.6413043478261,1372.0978260869565,83.34827272727273
2021-10-01,128.71,6863724,129.8,130.02,126.47,4656.0,2027.0,4.6,38769.0,30592.0,2028.0,-767.0,1399.0,83.65
2021-10-04,126.68,8470312,128.92,129.79,125.92,4680.228260869565,2052.1739130434785,4.629032258064516,38849.57608695652,30614.760869565216,2053.108695652174,-767.0326086956521,1344.1521739130435,83.37093841642229
2021-10-05,127.53,9244310,126.13,128.77,125.69,4688.304347826087,2060.5652173913045,4.638709677419355,38876.434782608696,30622.347826086956,2061.478260869565,-767.0434782608696,1325.8695652173913,83.27791788856305
2021-10-06,128.06,8513727,126.55,128.27,126.07,4696.380434782609,2068.9565217391305,4.648387096774194,38903.29347826087,30629.934782608696,2069.8478260869565,-767.054347826087,1307.586956521739,83.18489736070381
2021-10-07,127.84,8010556,129.265,130.72,127.59,4704.45652173913,2077.3478260869565,4.658064516129032,38930.15217391304,30637.521739130436,2078.217391304348,-767.0652173913044,1289.304347826087,83.09187683284458
